Entry	Cross-reference (Pfam)
Q96L50	PF12799;PF13516;
Q9H0V9	PF03388;
P49257	PF03388;
P20700	PF00038;PF00932;
P29536	PF03250;PF02205;
Q9C0E8	PF10058;
P18054	PF00305;PF01477;
Q8IVV2	PF01477;
P58215	PF01186;PF00530;
Q92633	PF00001;
Q92539	PF16876;PF04571;PF08235;
Q9UIC8	PF04072;
P31025	PF00061;
Q8NC56	PF03020;PF09402;
Q96B70	PF10469;PF04457;
P41159	PF02024;
O75610	PF00019;PF00688;
Q7Z7J7	PF10242;
Q9UBR4	PF00046;PF00412;
Q9H2C1	PF00046;PF00412;
Q9NQ69	PF00046;PF00412;
P06858	PF00151;PF01477;
P09960	PF09127;PF01433;
Q9BRT6	PF10169;
Q9HAT1	PF03388;
Q12907	PF03388;
Q68DH5	PF04791;
Q9Y468	PF02820;PF00536;PF01530;
Q6UX01	PF04791;
Q9NZU5	PF00412;PF06297;
Q96KR4	PF01457;
Q8TAP4	PF00412;
Q6ZMQ8	PF07714;
Q8IWU2	PF07714;
Q6GTX8	PF13895;
P00709	PF00062;
P25391	PF00052;PF00053;PF00054;PF06008;PF06009;PF00055;
P24043	PF00052;PF00053;PF00054;PF02210;PF06008;PF06009;PF00055;
Q16787	PF00052;PF00053;PF02210;PF06008;PF06009;PF00055;
Q16363	PF00053;PF02210;PF06008;PF06009;
P13473	PF01299;
Q9UJQ1	PF01299;
O43813	PF05147;
Q92615	PF05383;
Q71RC2	PF05383;
Q86YQ2	PF01273;
O95835	PF00069;PF00627;
Q8IWV1	PF15681;
P05455	PF05383;PF00076;PF08777;
P52954	PF00046;
Q5VSP4	PF00061;
Q9Y383	PF03194;
P04180	PF02450;
Q5T751	PF14672;
O14633	PF14672;
Q5TA78	PF14672;
O14960	PF01551;
Q9UJU2	PF08347;PF00505;
Q05315	PF00337;
A8MUM7	PF00337;
Q9BT23	PF00412;
P48059	PF00412;
Q2Q1W2	PF00630;PF01436;PF00643;
Q52LA3	PF10044;
Q5TKA1	PF06584;
Q5VYY2	PF00561;
P43034	PF08513;PF00400;
Q8IVB5	PF14954;
Q8IXW0	PF00932;
Q96Q04	PF07714;
Q8N448	PF00595;
Q496Y0	PF02190;
P36776	PF00004;PF05362;PF02190;
P23490	PF15847;
P09917	PF00305;PF01477;
Q9H1C0	PF00001;
Q643R3	PF01553;
Q8N3Y3	PF01501;
Q9Y4W2	PF04031;
Q14847	PF00412;PF00880;PF14604;
Q9UHI5	PF13520;
O75387	PF07690;
Q8N370	PF07690;
Q5T754	PF14672;
Q5TA82	PF14672;
Q5TA77	PF14672;
Q9BYE3	PF14672;
Q5TCM9	PF14672;
A4D1U4	PF09804;
Q6JVE9	PF00061;
O75112	PF15936;PF00412;PF00595;
Q9BYZ2	PF02866;PF00056;
P00338	PF02866;PF00056;
P09382	PF00337;
P47929	PF00337;
O00214	PF00337;
Q6DKI2	PF00337;
O95202	PF07766;
Q08380	PF07707;PF00530;
Q92604	PF16076;PF01553;
Q86UP9	PF10242;
Q9UPQ0	PF00307;PF15949;PF00412;
Q9UGP4	PF00412;
Q86W92	PF00536;PF07647;
Q8WWY8	PF00151;
Q6XZB0	PF00151;
Q05469	PF07859;PF06350;
A6NK58	PF03099;
P59901	PF00047;PF13895;
Q8NHL6	PF00047;PF13895;
O76009	PF00038;
Q96EK9	PF08433;
A0A0C4DH72	PF07686;
P01594	PF07686;
P04433	PF07686;
P06312	PF07686;
Q6PKG0	PF05383;
Q4G0J3	PF05383;PF00076;PF08777;
Q14739	PF01222;PF09465;
Q5T7P2	PF14672;
Q5TA79	PF14672;
Q6ZST4	PF00061;
Q8N3X6	PF05225;
Q13094	PF07647;PF00017;
P07864	PF02866;PF00056;
Q86WU2	PF02913;PF01565;
P01130	PF07645;PF00057;PF00058;
O95751	PF16297;
Q96PV6	PF03399;
A8MZ59	PF00046;
Q9HC24	PF01027;
O00292	PF00019;PF00688;
O75473	PF00560;PF13855;PF01462;
Q04760	PF00903;
Q86WI0	PF10242;
Q9H008	PF13344;
P48742	PF00046;PF00412;
Q7L985	PF07679;PF13855;
P0C6S8	PF07679;PF13855;
Q6UY18	PF07679;PF13855;
P53667	PF00412;PF00595;PF07714;
Q7Z4I7	PF00412;
Q6MZP7	PF03638;
O14910	PF02828;PF00595;
Q9HAP6	PF02828;PF00595;
Q9NUP9	PF02828;PF00595;
O75145	PF00536;PF07647;
Q969F8	PF00001;
Q5H943	PF15204;
Q9H0B6	PF13374;
Q9NSK0	PF13374;
Q6PID8	PF01344;
Q96G42	PF01344;
Q9Y5W3	PF00096;
O43474	PF00096;
O95600	PF00096;
Q6JEL2	PF07707;PF00651;PF01344;
O94889	PF07707;PF00651;PF01344;
Q8NBE8	PF07707;PF00651;PF01344;
Q9NXS3	PF07707;PF00651;PF01344;
Q0D2K2	PF07707;PF00651;PF01344;
A6NCF5	PF07707;PF01344;
Q9UBX7	PF00089;
Q9BYR7	PF04579;
Q9BYR6	PF04579;
Q9BYQ7	PF13885;
Q9BYR4	PF13885;
Q9BYQ5	PF13885;
Q9BYQ9	PF13885;
A8MTY7	PF13885;
Q9BYQ0	PF13885;
Q9BYP9	PF13885;
Q6ZNG9	PF01352;
O76013	PF00038;
Q14533	PF00038;PF16208;
Q14525	PF00038;
P01611	PF07686;
P01601	PF07686;
Q16719	PF00266;
Q8MH63	PF13520;
Q5T753	PF14672;
Q969E1	PF07359;
O95214	PF04133;
Q99538	PF01650;
Q9Y693	PF10242;
P50458	PF00046;PF00412;
A8MXZ3	PF13885;
Q9BYQ3	PF13885;
Q9BYQ2	PF13885;
O76011	PF00038;
O76014	PF00038;
Q9NSB4	PF00038;PF16208;
O75582	PF00069;PF00433;
Q96S38	PF04212;PF00069;PF00787;
A0A075B6P5	PF07686;
A0A075B6S4	PF07686;
A0A075B6S6	PF07686;
P01614	PF07686;
Q6P1M3	PF08366;PF00400;
A6NMS7	PF13855;PF15779;PF14914;
O60309	PF13855;PF15779;PF14914;
P0CF74	PF07654;
P55268	PF00053;PF00055;
Q6ZV70	PF05147;
Q6UX15	PF00059;
Q5T7P3	PF14672;
Q5TA81	PF14672;
Q5TA76	PF14672;
Q5T5A8	PF14672;
Q5T5B0	PF14672;
P06239	PF07714;PF00017;PF00018;
Q6JVE5	PF00061;
P62502	PF00061;
P56470	PF00337;
O00182	PF00337;
Q5T871	PF15042;
Q15349	PF00069;PF00433;
P23443	PF00069;PF00433;
Q8IVT5	PF13543;PF07714;
Q8N6L1	PF09775;
A0A0C4DH67	PF07686;
A0A0C4DH73	PF07686;
A0A075B6S5	PF07686;
A0A0C4DH68	PF07686;
P06310	PF07686;
A0A087WSZ0	PF07686;
P01615	PF07686;
P04432	PF07686;
A6NM11	PF13855;PF15779;PF14914;
Q49AS3	PF14914;
P83111	PF00144;
Q86VI4	PF03821;
Q9GIP4	PF13520;
Q01650	PF13520;
O43561	PF15234;
P18428	PF01273;PF02886;
O95447	PF15619;
A0A183	PF15858;
Q6UWP7	PF16076;PF01553;
Q6UWW0	PF00061;
Q96JN0	PF05225;
Q6ZMR3	PF02866;PF00056;
P07195	PF02866;PF00056;
Q6P5S2	PF05612;
P05162	PF00337;
P17931	PF00337;
Q3B8N2	PF00337;
Q3ZCW2	PF00337;
Q9BRS8	PF05383;PF12901;
Q8IYD9	PF15792;
Q9NRM7	PF00069;
Q86UK5	PF12297;
Q6UYE1	PF15760;
Q7Z429	PF01027;
Q9BWQ8	PF01027;
Q969X1	PF01027;
Q9HBX8	PF13855;
Q5TDP6	PF00120;
Q68G74	PF00046;PF00412;
P0CW19	PF00412;
Q8NG48	PF14695;PF14694;
Q13136	PF00536;PF07647;
Q5VXI9	PF00561;
P54315	PF00151;PF01477;
P54317	PF00151;PF01477;
O75023	PF00047;PF13895;
Q96JM7	PF02820;PF00536;
Q8WVP7	PF04791;
Q96S06	PF06762;
Q03252	PF00038;PF00932;
Q0VAK6	PF03250;
Q8TE12	PF00046;PF00412;
A1A4G5	PF15419;
O00370	PF08333;PF03372;PF00078;
Q9BYJ1	PF00305;PF01477;
O60711	PF00412;
Q9P2M1	PF08238;
Q15048	PF13516;
A6NM36	PF13855;
Q14392	PF13855;PF01462;
Q9H9A6	PF13855;
Q9Y546	PF13516;
Q8N4P6	PF13516;
Q6NSJ5	PF13855;PF12534;
Q9P244	PF00041;PF07679;PF13855;
Q9ULH4	PF00041;PF07679;PF13855;
A6NIV6	PF12799;PF13855;
Q9P2V4	PF00041;PF07679;PF13855;
A6NDA9	PF13855;
Q7Z4F1	PF00431;PF00057;
Q9Y561	PF00431;PF00057;
Q07954	PF12662;PF16472;PF07645;PF00057;PF00058;
P98164	PF12662;PF07645;PF00057;PF00058;
O75096	PF12662;PF00057;PF00058;
A6NJW4	PF13855;
Q9BYS8	PF13855;
Q9Y608	PF09738;
Q5S007	PF16095;PF12799;PF13855;PF00069;PF08477;
Q86UE6	PF13855;
Q86VH4	PF13855;
Q8N967	PF13855;PF01462;
Q9UFC0	PF12799;
Q13449	PF07679;
Q96KX0	PF00062;
Q9UI17	PF01266;PF16350;PF01571;PF08669;
Q02978	PF00153;
Q56UN5	PF00069;
Q9NXJ0	PF04103;
Q12851	PF00780;PF00069;
P33908	PF01532;
O60476	PF01532;
O00754	PF09261;PF01074;PF07748;
Q9NTJ4	PF09261;PF01074;PF07748;
Q8IWC1	PF05672;
A1Z1Q3	PF01661;
Q9Y5Q3	PF03131;PF08383;
P20916	PF08205;
Q9BXY0	PF04874;PF01778;
Q8N4S9	PF01284;PF07303;
Q13021	PF01284;
Q96JK9	PF09596;
Q9NQG1	PF06783;
Q5VSG8	PF16317;
Q14244	PF05672;
Q8IW41	PF00069;
Q969Z3	PF03473;PF03476;
Q86YJ5	PF12906;
A6NNE9	PF12906;
O00187	PF00431;PF07645;PF00084;PF00089;
O60307	PF08926;PF00595;PF00069;
Q9UBB5	PF01429;PF14048;PF16564;
O95243	PF01429;
A4D2B0	PF00753;
Q68D91	PF00753;
A2RUH7	PF00041;PF07679;
Q5U623	PF16788;PF16794;
Q8N8R3	PF00153;
Q96RQ3	PF02785;PF00289;PF00364;PF02786;
Q9HCC0	PF01039;
P33992	PF00493;PF14551;PF17207;
Q9BTE3	PF09739;
Q14676	PF00498;PF16770;
Q9P1T7	PF15316;
Q99750	PF15316;
Q7Z553	PF07679;PF00629;
Q9UHB6	PF00412;
O75335	PF00536;PF07647;
Q8ND30	PF00536;PF07647;
Q14693	PF16876;PF04571;PF08235;
O43504	PF16672;
O95711	PF02221;
P10253	PF13802;PF01055;PF16863;PF00088;
P16581	PF00008;PF00059;PF00084;
P16109	PF00059;PF00084;
Q9BZG9	PF00021;
O95372	PF02230;
Q86UE4	PF15686;
Q8IV50	PF01476;
Q7Z3D4	PF01476;
Q9Y5Y7	PF00193;
Q6P0N0	PF00249;PF09133;
Q16584	PF07714;PF14604;
Q13233	PF00069;
Q99759	PF00564;PF00069;
O43318	PF07714;
Q5TCX8	PF07714;PF14604;
Q8N5U1	PF04103;
A6NCF6	PF12440;
Q6ZN28	PF00791;
Q9BQ69	PF01661;
Q05195	PF00010;
Q13477	PF09085;
Q96JY0	PF09011;PF13017;
Q9H063	PF09174;
P43357	PF01454;PF12440;
P43364	PF01454;PF12440;
P43366	PF01454;PF12440;
Q96LZ2	PF01454;PF12440;
Q96QZ7	PF00625;PF00595;PF00397;
Q86UL8	PF00625;PF00595;PF00397;
Q3KP22	PF15077;
P21145	PF01284;
O00462	PF02836;
Q5SRI9	PF16317;
Q9H8J5	PF07502;
P48163	PF00390;PF03949;
P46821	PF00414;
A0A0B4J1U3	PF07686;
A0A075B6J9	PF07686;
A0A075B6K4	PF07686;
A0A075B6K6	PF07686;
A0A0G2JS06	PF07686;
A0A075B6I0	PF07686;
A0A075B6I4	PF07686;
P28300	PF01186;
Q6UWN0	PF00021;
Q6UX82	PF00021;
Q9HD34	PF05347;
Q96S90	PF01476;
Q96QH8	PF00062;
Q9NPA3	PF07084;
P41279	PF00069;
Q96DS6	PF04103;
P49641	PF09261;PF01074;PF07748;
Q3KQU3	PF05672;
Q9UPN3	PF00307;PF13499;PF02187;PF00681;PF00435;
Q8N5G2	PF09726;
Q8NHW3	PF03131;PF08383;
O15525	PF03131;
Q9H213	PF01454;
Q969L2	PF01284;
Q9BSK0	PF01284;
A6NHS7	PF07502;
P29966	PF02063;
Q9P2E8	PF12906;
O60337	PF12906;
P04201	PF00001;
Q9NZL9	PF04321;
Q13394	PF03281;
Q8WWY6	PF14048;PF16564;
A6NDZ8	PF14048;PF16564;
Q9UIS9	PF01429;PF02008;
P32245	PF00001;
O15068	PF13716;PF00169;PF00621;PF07653;PF00435;
P10911	PF13716;PF00169;PF00621;
Q9GZU1	PF08016;
P25205	PF00493;PF14551;PF17207;
Q14566	PF00493;PF14551;PF17207;
Q96QE4	PF13855;PF15779;PF14914;
Q0VAA2	PF13516;
Q5SZI1	PF00057;
Q9H756	PF13855;
Q8TCA0	PF00560;PF13855;
Q2I0M4	PF13855;
Q96PB8	PF13855;PF01462;
Q9HCJ2	PF07679;PF13306;PF13855;
Q8N7C0	PF13855;
Q96CX6	PF13855;
Q68CR7	PF13855;
O75427	PF00307;PF13855;
Q9BTN0	PF00041;PF07679;PF13855;
Q12912	PF05781;
A4QPB2	PF00058;
O75197	PF00057;PF00058;
O75581	PF00057;PF00058;
Q14114	PF00057;PF00058;
P51884	PF13516;PF13855;PF01462;
P01701	PF07686;
P01715	PF07686;
P01718	PF07686;
A0A087WSX0	PF07686;
O94772	PF00021;
Q6UWQ5	PF00062;
Q7Z4W2	PF00062;
O75951	PF00062;
Q567V2	PF04117;
Q02779	PF07714;PF14604;
Q9Y2U5	PF00564;PF00069;
Q9Y6R4	PF00069;
Q99683	PF13281;PF00069;
Q9BW11	PF00010;
P43356	PF01454;PF12440;
O15479	PF01454;PF12440;
A2A368	PF01454;PF12440;
Q96JG8	PF01454;
P20794	PF00069;
Q5VYJ5	PF00008;PF00057;PF00629;
Q9UDY8	PF13895;
Q5VT66	PF03473;PF03476;
Q6P0Q8	PF08926;PF00595;PF00069;
P42679	PF07714;PF00017;PF00018;
P61968	PF00412;
O60663	PF00046;PF00412;
Q9H9Z2	PF00313;PF00098;
Q6ZN17	PF00313;PF00098;
Q8TBB1	PF00595;PF00097;
Q17RB8	PF02190;PF13445;
Q9UN81	PF02994;
P16050	PF00305;PF01477;
Q9Y4K0	PF01186;PF00530;
Q9HBW0	PF00001;
Q6ZQY2	PF13516;
Q86YD5	PF00057;
O95237	PF04970;
Q5BKY1	PF13855;
Q6UY01	PF13516;
Q86VH5	PF00560;PF13855;
Q9HBL6	PF13855;
P22888	PF00001;PF13306;
Q9Y333	PF01423;
Q9Y4Z0	PF01423;
Q86X29	PF05624;
P29376	PF07714;
P01703	PF07686;
P01705	PF07686;
A0A075B6K0	PF07686;
A0A075B6J6	PF07686;
A0A075B6H9	PF07686;
A0A0A0MRZ9	PF07686;
A0A075B6I9	PF07686;
Q9BS40	PF06907;
Q16553	PF00021;
H3BQJ8	PF00021;
P12980	PF00010;
Q9Y5L5	PF15221;
Q96BZ8	PF10197;
P48357	PF06328;
O95970	PF03736;PF13855;
Q8N145	PF03736;PF13855;
Q8N135	PF03736;PF13855;
Q9BXB1	PF00001;PF13855;PF01462;
Q9UBY5	PF00001;
P43657	PF00001;
P50851	PF02138;PF06469;PF15787;PF14844;
Q8N456	PF13855;
Q50LG9	PF13855;
Q9C0I9	PF13855;
Q8WV35	PF00560;PF13516;
Q96DD0	PF12799;PF13855;
Q9NT99	PF07679;PF13855;
Q6P9F7	PF13306;PF13855;PF12534;
Q7L1W4	PF13855;PF12534;
Q6PJG9	PF00041;PF07679;PF13855;
Q96NI6	PF07679;PF13306;
Q96JM4	PF00612;
Q9H3W5	PF00041;PF07679;PF13855;
Q6UWE0	PF13855;PF07647;
Q9BX40	PF09532;PF12701;
P42702	PF00041;
P15018	PF01291;
Q9H400	PF15332;
P0CW20	PF00412;
Q5W064	PF04083;
Q8N6C8	PF13895;
Q6PI73	PF00047;PF13895;
Q8N423	PF13895;
Q969R5	PF02820;
Q8NA19	PF02820;PF00536;PF01530;
P55344	PF00822;
Q1L5Z9	PF02190;PF13445;
Q86WA8	PF00004;PF05362;PF02190;
Q96JB6	PF01186;PF00530;
Q16609	PF00051;
Q86U10	PF12796;PF00710;
Q93052	PF00412;
Q5T700	PF00057;
O15165	PF00057;
Q8TF66	PF00560;PF13855;
Q8N6Y2	PF13855;
Q53EV4	PF13516;
Q86X40	PF13855;
Q8IZ02	PF13516;
Q5VT99	PF13855;
Q96CN5	PF13516;
Q8IWT6	PF13855;PF12534;
Q9Y2L9	PF00307;PF13855;
Q96II8	PF00307;PF13855;
Q86VZ4	PF00057;PF07502;
Q9NZR2	PF12662;PF16472;PF00008;PF07645;PF00057;PF00058;
O75074	PF00431;PF00057;
Q7Z2Q7	PF13855;
Q96NW7	PF13855;PF00595;
Q6UXK5	PF07679;PF13855;
Q8N8F7	PF15145;
Q9HCC9	PF01363;
Q9BVC4	PF00400;
Q9NPC1	PF00001;
P16233	PF00151;PF01477;
O75019	PF13895;
Q8N149	PF00047;PF13895;
Q8N485	PF14954;
P09848	PF00232;
Q9BQK8	PF16876;PF04571;PF08235;
P42704	PF01535;PF13812;PF17177;
Q6ZSA7	PF13855;
Q96M69	PF00625;
Q96JA1	PF07679;PF13855;PF01463;
Q38SD2	PF12796;PF16095;PF00069;PF08477;
Q8WUT4	PF00041;PF13855;
O43300	PF13855;
Q8ND56	PF09532;PF12701;
Q9H089	PF01926;
P62312	PF01423;
Q14767	PF00008;PF07645;PF00683;
Q8N2S1	PF07645;PF00683;
Q16873	PF01124;
O94822	PF13639;
Q96GA3	PF04180;
P01699	PF07686;
P01706	PF07686;
A0A075B6J1	PF07686;
P01721	PF07686;
O75342	PF00305;PF01477;
O15296	PF00305;PF01477;
Q14210	PF00021;
P07948	PF07714;PF00017;PF00018;
O95274	PF00021;
Q5VWZ2	PF02230;
Q8IYB1	PF03281;
Q99558	PF00069;
Q96PG2	PF04103;
Q3C1V0	PF04103;
Q9H2W1	PF04103;
Q8IVH8	PF00780;PF00069;
O95819	PF00780;PF00069;
O75444	PF03131;PF08383;
P43358	PF01454;PF12440;
P43363	PF01454;PF12440;
Q9BZ81	PF01454;
Q9H0U3	PF04756;
A6NM62	PF13855;
Q8N9N7	PF00560;PF13855;
Q96AG4	PF13855;
Q05C16	PF13855;
Q6ZNQ3	PF13855;
Q5T3J3	PF15741;
O94898	PF07679;PF13855;PF01463;
Q6UXM1	PF07679;PF13855;
A6PVS8	PF12799;
Q3SXY7	PF13855;
Q9BTT6	PF13855;
Q9HBW1	PF07679;PF13855;
A4D1F6	PF00560;PF13855;
Q32MZ4	PF09738;
P01229	PF00007;
Q969L4	PF01423;
Q3MHD2	PF09793;
Q9Y4Y9	PF01423;
Q14766	PF12662;PF07645;PF00683;
Q9UHA4	PF08923;
P01700	PF07686;
P01709	PF07686;
P01704	PF07686;
P01714	PF07686;
P01717	PF07686;
P04211	PF07686;
P61626	PF00062;
Q99698	PF02138;PF14844;PF00400;
Q12852	PF07714;
Q6ZN16	PF13281;PF00069;
O95382	PF13281;PF00069;
Q9NR34	PF01532;
Q16706	PF09261;PF01074;PF07748;
Q96T17	PF05672;
Q7Z4T9	PF14738;
Q8WXG6	PF02141;PF03456;
Q9ULX9	PF03131;
P43360	PF01454;PF12440;
P43365	PF01454;PF12440;
O15480	PF01454;PF12440;
A8MXT2	PF01454;PF12440;
Q9HAY2	PF01454;
P21941	PF10393;PF00092;
P61244	PF00010;
Q9H7P6	PF10240;
Q8N8X9	PF03281;
Q8NHZ7	PF14048;PF16564;
Q9BQG0	PF04931;
O15116	PF01423;
P62310	PF01423;
Q9UK45	PF01423;
Q9BRA0	PF01423;
P33241	PF02029;
Q5SQ64	PF07686;
O60449	PF00040;PF00059;
Q9Y6Y9	PF02221;
P14151	PF00059;PF00084;
Q9NX58	PF08790;
O43325	PF05347;
Q9NU23	PF05347;
Q8N653	PF00651;PF01344;PF07646;
Q5TCQ9	PF00625;PF00595;PF00397;
Q9H6Y5	PF00595;
P55145	PF10208;
Q16798	PF00390;PF03949;
Q6UB28	PF00557;
Q96EZ8	PF00498;PF13325;
Q6DN14	PF00168;PF08372;
Q86YW9	PF09497;PF12145;PF12144;
Q9UI95	PF02301;
O15151	PF02201;PF00641;
P08183	PF00664;PF00005;
P0C7V9	PF01795;
Q16626	PF06910;
Q93074	PF09497;PF12145;PF12144;
O60244	PF08638;
Q15648	PF10744;
Q9H944	PF08612;
Q6P2C8	PF11571;
O43513	PF05983;
Q02078	PF12347;PF00319;
Q16820	PF01400;PF00629;
Q9BQA1	PF00400;
Q7L2J0	PF06859;PF13847;
P35240	PF00769;PF09380;PF00373;PF09379;
Q12866	PF00041;PF00047;PF07714;
Q8N4P3	PF13328;
Q9BRJ9	PF00010;
Q0VG99	PF00010;
Q5EB52	PF00561;
A8MUP2	PF13847;
Q8TDW0	PF13306;PF13855;PF12534;
Q5VUJ6	PF00307;PF13855;
Q9NS15	PF12662;PF07645;PF12661;PF00683;
Q6IAA8	PF15454;
Q9Y2Q5	PF03259;
A0A075B6K2	PF07686;
P80748	PF07686;
A0A075B6I1	PF07686;
A0A0B4J1Y8	PF07686;
O75608	PF02230;
Q6UWN5	PF00021;
Q5U5X0	PF05347;
A8MSI8	PF05347;
Q8WZA0	PF06384;
P0DM35	PF00131;
P80192	PF00069;PF14604;
Q9BY19	PF04103;
Q92918	PF00780;PF00069;
Q9Y4K4	PF00780;PF00069;
Q9UKM7	PF01532;
Q9Y2E5	PF09261;PF01074;PF07748;
O43708	PF14497;PF13417;
A6NDP7	PF01284;
P43355	PF01454;PF12440;
P43362	PF12440;
O15481	PF01454;PF12440;
O60732	PF01454;
Q9UNF1	PF01454;
Q9UJ55	PF01454;
Q92585	PF09596;
Q8IZL2	PF09596;
Q9Y2U8	PF03020;PF09402;
Q9P2G4	PF14925;
P53582	PF00557;PF15801;
P50579	PF00557;
P27816	PF00418;
O00339	PF12662;PF07645;PF10393;PF00092;
O95460	PF12662;PF10393;PF00092;
Q9NUK0	PF00642;
Q6ZWT7	PF03062;
P02686	PF01669;
P33032	PF00001;
Q6VMQ6	PF16788;PF16794;
O43148	PF03291;
Q969V1	PF00001;
P20382	PF05824;
Q07820	PF00452;
Q8TDD5	PF08016;
Q4G0Z9	PF00493;
Q9ULC4	PF01472;
Q00987	PF02201;PF00641;
A6NIK2	PF13855;
Q9BY71	PF00560;PF13855;PF01462;
O75325	PF07679;PF13855;
O95777	PF01423;
Q8N112	PF15833;
O00453	PF05083;
Q15722	PF00001;
Q6P1Q0	PF07766;
Q9NQ29	PF03194;
O43283	PF07714;
Q96JA4	PF04103;
Q96JQ5	PF04103;
O60336	PF00400;
Q14582	PF00010;
Q7L5Y9	PF10607;
Q9Y5V3	PF01454;
Q9HCI5	PF01454;
Q15691	PF00307;PF03271;
Q9P0N8	PF12906;
Q86UD3	PF12906;
Q8NA82	PF12906;
P27448	PF02149;PF00069;PF00627;
Q96L34	PF02149;PF00069;PF00627;
P48740	PF00431;PF00084;PF00089;
O15021	PF08926;PF00595;PF00069;
O15232	PF07645;PF10393;PF00092;
A6NJ08	PF14048;PF16564;
Q9P267	PF00855;
Q5VZF2	PF00642;
Q6ZNC8	PF03062;
O60942	PF00782;PF03919;PF01331;
Q8NI22	PF13499;
Q16048	PF05824;
Q9BQD1	PF05824;
P49736	PF00493;PF12619;PF14551;PF17207;
P33993	PF00493;PF14551;PF17207;
Q9BUT9	PF14799;
Q6DN12	PF00168;PF08372;
Q8NE86	PF04678;
Q9NU22	PF07728;
Q9BV79	PF08240;PF00107;
Q9BUE0	PF09637;
A0JLT2	PF10278;
Q9ULK4	PF11573;
O95402	PF08711;PF15693;PF15694;
Q9Y3C7	PF05669;
Q9NPJ6	PF10018;
Q9NWA0	PF07544;
Q96KG7	PF12661;PF00053;
A8MW99	PF13971;
Q99687	PF05920;PF16493;
P21439	PF00664;PF00005;
Q9BTT4	PF09748;
Q5JSS6	PF15163;
Q14680	PF02149;PF00069;
P50222	PF00046;
Q00266	PF02773;PF02772;PF00438;
Q8TCB7	PF08242;
P55081	PF06991;
Q9H2D1	PF00153;
Q96PC5	PF07653;
Q5JRA6	PF07653;
Q9Y4F3	PF11608;PF01936;PF12872;
O95983	PF01429;PF14048;PF16564;
Q8IZK6	PF08016;
C9JLW8	PF14799;
Q9UHV7	PF06333;PF11597;
Q96RN5	PF09606;
Q9NX70	PF11568;
Q96HR3	PF11315;
O95772	PF10457;
Q86W50	PF05971;
Q9H7H0	PF09243;
Q9BUU2	PF10294;
Q6UX53	PF08241;
O75121	PF07679;
P55082	PF00047;
Q14728	PF07690;
Q5TF39	PF07690;
Q8IWD5	PF12832;
P26572	PF03071;
Q96A72	PF02792;
P10620	PF01124;
O14880	PF01124;
A6NG13	PF04666;
Q9P0L2	PF02149;PF00069;PF00627;
Q7KZI7	PF02149;PF00069;PF00627;
Q9Y2H9	PF08926;PF00595;PF00069;
P51948	PF06391;PF17121;
P56270	PF00096;
Q9Y586	PF03281;
A6NE82	PF14048;PF16564;
P11226	PF01391;PF00059;
Q9NR56	PF00642;
Q6P1A2	PF03062;
Q4ZIN3	PF09746;
Q05BQ5	PF02820;
Q7L590	PF09332;PF09329;
Q9UJA3	PF00493;PF17207;
Q96AQ8	PF07798;
P40925	PF02866;PF00056;
A6NDR6	PF05920;PF16493;
A8K0S8	PF05920;PF16493;
Q9BUN1	PF15322;
Q8N6R0	PF08241;
Q16655	PF14991;
Q7Z434	PF16739;
Q96EY5	PF10240;
Q14703	PF00082;
O43462	PF02163;
P41968	PF00001;
Q99705	PF00001;
D6RGH6	PF07412;
Q9NWR8	PF04678;
Q71F56	PF06333;PF11597;
Q9Y6D9	PF05557;
Q13257	PF02301;
P40926	PF02866;PF00056;
Q9NVC6	PF10156;
Q16819	PF01400;PF00008;PF00629;
Q9NQ76	PF07175;
Q14696	PF10185;
Q8N6Q8	PF13679;
Q99707	PF02310;PF02607;PF02965;PF00809;PF02574;
Q9H019	PF05308;
O60675	PF03131;
P43359	PF12440;
P43361	PF01454;PF12440;
Q8N7X4	PF01454;PF12440;
Q96M61	PF01454;PF12440;
Q7Z304	PF00629;
P23368	PF00390;PF03949;
P49137	PF00069;
Q16644	PF00069;
Q9UEW3	PF01391;PF00530;
Q15555	PF00307;PF03271;
Q9UPY8	PF00307;PF03271;
Q8TCQ1	PF12906;
Q9NX47	PF12906;
Q9H992	PF12906;
Q5T0T0	PF12906;
Q6ZN01	PF02037;
Q96T53	PF03062;
Q96N66	PF03062;
O43324	PF00043;
O43772	PF00153;
P59942	PF15707;
P33991	PF00493;PF14551;PF17207;
Q8NEM0	PF16589;PF12258;PF12738;
P08235	PF00104;PF00105;
Q15013	PF06581;
Q8TC05	PF15501;
Q5JXM2	PF13383;
Q9H8H3	PF08241;
Q9Y4C4	PF13855;PF08477;
Q9H1U4	PF00053;
A2RUB1	PF15189;
Q14D04	PF00169;
P55083	PF00147;
Q8IWA4	PF00350;PF04799;
O95140	PF00350;PF04799;
Q9H3U5	PF07690;
Q96ES6	PF07690;
Q10469	PF05060;
Q8N4Q1	PF06747;
Q8IYU8	PF13833;
Q96C03	PF03281;
Q9BRT3	PF10262;
Q8N108	PF01448;PF00249;
P20774	PF13855;
Q9UNW1	PF00328;
Q96T58	PF00076;PF07744;
Q9NXC5	PF17034;
P53778	PF00069;
Q969V6	PF02755;PF02037;
Q8NB16	PF07714;
Q9GZQ8	PF02991;
Q01449	PF13499;
P09238	PF00045;PF00413;PF01471;
Q86TA1	PF03637;
O95396	PF00581;PF00899;
Q6UXV4	PF09769;
